Timestamp,Age,Gender,Location,Occupation,Education_Level,Per_Serving,Total_Monthly,Factor_Influence,Often_Restaurant,Recommend_Traditional,Recommend_International,Preference
2024/11/21 8:10:18 AM GMT+8,20,Female,City,Student,Local Graduate,10,400,Budget Friendly,Rarely,6,6,Local cuisine
2024/11/21 8:17:13 AM GMT+8,29,Female,City,Self employed,Local Graduate,20,400,Budget Friendly,Weekly,10,10,Local cuisine
2024/11/21 8:35:43 AM GMT+8,23,Female,Rural,Student,Local Graduate,10,300,Budget Friendly,Rarely,10,5,Local cuisine
2024/11/21 8:38:07 AM GMT+8,21,Female,City,Student,Secondary,10,350,Budget Friendly,Rarely,5,7,International cuisine
2024/11/21 8:56:01 AM GMT+8,26,Female,City,Employed (Non Executive-level),Local Graduate,10,300,Budget Friendly,Weekly,7,5,Local cuisine
2024/11/21 8:56:52 AM GMT+8,43,Female,Rural,Employed (Executive-level),Local Graduate,45,600,Taste & Craving,Weekly,10,4,Local cuisine
2024/11/21 9:02:51 AM GMT+8,22,Female,City,Student,Local Graduate,15,300,Budget Friendly,Weekly,8,5,Local cuisine
2024/11/21 9:11:10 AM GMT+8,27,Male,Suburban,Employed (Executive-level),Secondary,10,300,Budget Friendly,Weekly,3,5,Local cuisine
2024/11/21 9:21:56 AM GMT+8,22,Male,City,Student,Local Graduate,12,360,Budget Friendly,Weekly,7,4,Local cuisine
2024/11/21 9:31:52 AM GMT+8,18,Female,City,Student,Local Graduate,10,400,Taste & Craving,Rarely,5,7,International cuisine
2024/11/21 9:48:33 AM GMT+8,23,Male,City,Student,Local Graduate,10,400,Budget Friendly,Weekly,7,7,Local cuisine
2024/11/21 10:04:05 AM GMT+8,22,Female,Suburban,Student,Local Graduate,20,500,Taste & Craving,Daily,10,6,Local cuisine
2024/11/21 10:27:45 AM GMT+8,23,Female,Suburban,Student,Local Graduate,10,45,Budget Friendly,Rarely,8,7,Local cuisine
2024/11/21 10:47:07 AM GMT+8,23,Female,Suburban,Student,Local Graduate,20,400,Budget Friendly,Rarely,8,7,Local cuisine
2024/11/21 11:02:58 AM GMT+8,27,Female,City,Employed (Non Executive-level),Local Graduate,10,550,Budget Friendly,Daily,10,10,Local cuisine
2024/11/21 11:03:25 AM GMT+8,37,Male,Suburban,Employed (Executive-level),Overseas Graduate,10,500,Budget Friendly,Weekly,9,6,Local cuisine
2024/11/21 11:11:11 AM GMT+8,25,Male,Suburban,Student,Local Graduate,10,300,Healthy Meal,Weekly,10,8,International cuisine
2024/11/21 11:24:01 AM GMT+8,31,Female,Rural,Student,Local Graduate,10,100,Budget Friendly,Rarely,9,5,Local cuisine
2024/11/21 11:33:14 AM GMT+8,20,Male,City,Student,Local Graduate,7,150,Budget Friendly,Monthly,10,10,Local cuisine
2024/11/21 11:37:25 AM GMT+8,25,Female,Suburban,Employed (Non Executive-level),Local Graduate,12,400,Quick & Easy,Rarely,9,7,Local cuisine
2024/11/21 11:40:31 AM GMT+8,24,Female,Rural,Student,Local Graduate,15,450,Taste & Craving,Daily,9,5,Local cuisine
2024/11/21 11:46:54 AM GMT+8,21,Female,Rural,Student,Local Graduate,7,200,Budget Friendly,Rarely,10,6,Local cuisine
2024/11/21 12:05:58 PM GMT+8,22,Female,Suburban,Student,Local Graduate,10,300,Budget Friendly,Rarely,10,7,Local cuisine
2024/11/21 12:12:18 PM GMT+8,20,Female,City,Student,Local Graduate,10,500,Budget Friendly,Rarely,10,7,Local cuisine
2024/11/21 12:13:35 PM GMT+8,27,Female,City,Unemployed,Local Graduate,20,350,Taste & Craving,Rarely,8,8,International cuisine
2024/11/21 12:23:14 PM GMT+8,21,Female,Suburban,Student,Local Graduate,6,200,Budget Friendly,Rarely,10,5,Local cuisine
2024/11/21 12:28:13 PM GMT+8,24,Male,City,Student,Local Graduate,8.5,200,Budget Friendly,Daily,10,8,Local cuisine
2024/11/21 12:43:21 PM GMT+8,21,Male,Rural,Student,Local Graduate,9,300,Taste & Craving,Monthly,8,6,Local cuisine
2024/11/21 12:43:25 PM GMT+8,21,Male,City,Student,Local Graduate,8,300,Budget Friendly,Rarely,10,7,Local cuisine
2024/11/21 12:50:15 PM GMT+8,26,Female,Suburban,Employed (Non Executive-level),Local Graduate,20,250,Taste & Craving,Rarely,10,6,Local cuisine
2024/11/21 12:55:24 PM GMT+8,19,Female,City,Student,Local Graduate,20,350,Budget Friendly,Monthly,8,5,Local cuisine
2024/11/21 1:31:03 PM GMT+8,18,Male,City,Student,Local Graduate,6,300,Budget Friendly,Weekly,10,10,Local cuisine
2024/11/21 1:32:53 PM GMT+8,19,Female,Suburban,Student,Local Graduate,10,300,Budget Friendly,Rarely,10,4,Local cuisine
2024/11/21 2:02:15 PM GMT+8,21,Male,Suburban,Student,Local Graduate,8,250,Taste & Craving,Weekly,9,6,Local cuisine
